"filecoverage","totalcoverage"
100,29.42
100,29.42
66.67,29.42
62.5,29.42
100,29.42
100,29.42
100,29.42
81.82,29.42
100,29.42
66.67,29.42
83.33,29.42
86.67,29.42
0,29.42
0,29.42
75,29.42
0,29.42
0,29.42
0,29.42
88.89,29.42
77.78,29.42
100,29.42
100,29.42
100,29.42
80,29.42
100,29.42
100,29.42
72.73,29.42
81.82,29.42
100,29.42
59.57,29.42
65.38,29.42
93.33,29.42
77.78,29.42
52.54,29.42
41.23,29.42
86.36,29.42
100,29.42
0,29.42
0,29.42
100,29.42
0,29.42
0,29.42
74.76,29.42
79.75,29.42
0,29.42
0,29.42
0,29.42
0,29.42
0,29.42
0,29.42
0,29.42
0,29.42
0,29.42
0,29.42
0,29.42
0,29.42
100,29.42
0,29.42
0,29.42
58.12,29.42
100,29.42
94.12,29.42
85,29.42
76.92,29.42
100,29.42
76.92,29.42
0,29.42
0,29.42
0,29.42
100,29.42
100,29.42
0,29.42
0,29.42
84.62,29.42
0,29.42
0,29.42
0,29.42
0,29.42
0,29.42
0,29.42
0,29.42
0,29.42
0,29.42
100,29.42
0,29.42
0,29.42
100,29.42
80,29.42
53.33,29.42
88.46,29.42
70.59,29.42
0,29.42
100,29.42
0,29.42
87.5,29.42
84.62,29.42
0,29.42
0,29.42
0,29.42
0,29.42
0,29.42
100,29.42
100,29.42
83.33,29.42
78.08,29.42
0,29.42
69.23,29.42
0,29.42
89.47,29.42
100,29.42
78.57,29.42
100,29.42
100,29.42
65.83,29.42
0,29.42
58.82,29.42
100,29.42
100,29.42
85,29.42
71.43,29.42
100,29.42
95.65,29.42
61.9,29.42
67.74,29.42
63.33,29.42
39.62,29.42
0,29.42
0,29.42
0,29.42
0,29.42
0,29.42
28.37,29.42
52.08,29.42
100,29.42
100,29.42
66.67,29.42
100,29.42
100,29.42
0,29.42
